"","Cell","Batch","Group","ExpLibSize"
"Cell500","Cell500","Batch1","Group2",47000.7188750311
"Cell501","Cell501","Batch1","Group2",53088.9135165677
"Cell502","Cell502","Batch1","Group3",58269.6569391179
"Cell503","Cell503","Batch1","Group5",49145.7397368527
"Cell504","Cell504","Batch1","Group6",70713.0206773054
"Cell505","Cell505","Batch1","Group2",51071.816953552
"Cell506","Cell506","Batch1","Group1",64093.1595806043
"Cell507","Cell507","Batch1","Group5",71259.6811057685
"Cell508","Cell508","Batch1","Group2",47267.0067297511
"Cell509","Cell509","Batch1","Group1",73466.0589201627
"Cell510","Cell510","Batch1","Group3",39273.8069075427
"Cell511","Cell511","Batch1","Group2",62689.7055628038
"Cell512","Cell512","Batch1","Group6",81011.1564653929
"Cell513","Cell513","Batch1","Group3",66908.9218245113
"Cell514","Cell514","Batch1","Group3",71895.9892811459
"Cell515","Cell515","Batch1","Group5",53600.875192512
"Cell516","Cell516","Batch1","Group4",63555.9066931073
"Cell517","Cell517","Batch1","Group2",74703.0281610467
"Cell518","Cell518","Batch1","Group3",45897.6906907006
"Cell519","Cell519","Batch1","Group4",73155.2245104747
"Cell520","Cell520","Batch1","Group5",45167.7775370928
"Cell521","Cell521","Batch1","Group6",54189.573336909
"Cell522","Cell522","Batch1","Group1",101169.374902625
"Cell523","Cell523","Batch1","Group1",66312.4613961474
"Cell524","Cell524","Batch1","Group2",58796.1326906264
"Cell525","Cell525","Batch1","Group5",72820.5253335855
"Cell526","Cell526","Batch1","Group6",57024.6134556225
"Cell527","Cell527","Batch1","Group2",67803.0048211687
"Cell528","Cell528","Batch1","Group1",55886.658088455
"Cell529","Cell529","Batch1","Group4",37382.3927637312
"Cell530","Cell530","Batch1","Group3",65806.7388807679
"Cell531","Cell531","Batch1","Group1",54052.1154489599
"Cell532","Cell532","Batch1","Group3",53384.704965216
"Cell533","Cell533","Batch1","Group6",59919.6298486161
"Cell534","Cell534","Batch1","Group5",78316.2335800424
"Cell535","Cell535","Batch1","Group4",63518.8697600033
"Cell536","Cell536","Batch1","Group2",70852.6316730948
"Cell537","Cell537","Batch1","Group2",67901.462995768
"Cell538","Cell538","Batch1","Group5",61103.2099564982
"Cell539","Cell539","Batch1","Group5",68475.0123803443
"Cell540","Cell540","Batch1","Group3",58240.5266211041
"Cell541","Cell541","Batch1","Group6",46636.4428256751
"Cell542","Cell542","Batch1","Group1",64185.1432176935
"Cell543","Cell543","Batch1","Group5",37965.6570476545
"Cell544","Cell544","Batch1","Group3",49156.1951672456
"Cell545","Cell545","Batch1","Group5",59165.3728277005
"Cell546","Cell546","Batch1","Group6",57979.6926737386
"Cell547","Cell547","Batch1","Group6",55046.1771183943
"Cell548","Cell548","Batch1","Group3",72963.7632656885
"Cell549","Cell549","Batch1","Group4",48343.0255754361
"Cell550","Cell550","Batch1","Group3",35499.4082601701
"Cell551","Cell551","Batch1","Group1",69988.790992603
"Cell552","Cell552","Batch1","Group3",60416.7108108455
"Cell553","Cell553","Batch1","Group6",58588.9955229986
"Cell554","Cell554","Batch1","Group2",55367.892002834
"Cell555","Cell555","Batch1","Group2",42727.5888353341
"Cell556","Cell556","Batch1","Group2",49486.6942290768
"Cell557","Cell557","Batch1","Group1",66269.3530315743
"Cell558","Cell558","Batch1","Group3",60099.8857667191
"Cell559","Cell559","Batch1","Group1",45081.0800003194
"Cell560","Cell560","Batch1","Group6",67483.2289689713
"Cell561","Cell561","Batch1","Group6",70071.815045601
"Cell562","Cell562","Batch1","Group3",58283.4462280344
"Cell563","Cell563","Batch1","Group2",59678.2371742814
"Cell564","Cell564","Batch1","Group2",79366.2172811874
"Cell565","Cell565","Batch1","Group3",64793.9646419004
"Cell566","Cell566","Batch1","Group4",76418.1128018741
"Cell567","Cell567","Batch1","Group6",59336.7757644698
"Cell568","Cell568","Batch1","Group3",80490.7515289778
"Cell569","Cell569","Batch1","Group5",58974.6661072387
"Cell570","Cell570","Batch1","Group6",71937.2644752605
"Cell571","Cell571","Batch1","Group5",55884.6071539622
"Cell572","Cell572","Batch1","Group3",48271.6383181031
"Cell573","Cell573","Batch1","Group1",73153.9164844022
"Cell574","Cell574","Batch1","Group2",94769.3011392207
"Cell575","Cell575","Batch1","Group3",56096.2574357389
"Cell576","Cell576","Batch1","Group5",80319.7823957691
"Cell577","Cell577","Batch1","Group2",57103.3585906477
"Cell578","Cell578","Batch1","Group2",72019.9630087528
"Cell579","Cell579","Batch1","Group5",49126.8810071169
"Cell580","Cell580","Batch1","Group5",63267.6396628116
"Cell581","Cell581","Batch1","Group3",51393.5409598719
"Cell582","Cell582","Batch1","Group1",45687.3897410214
"Cell583","Cell583","Batch1","Group6",68254.9257118801
"Cell584","Cell584","Batch1","Group5",82613.5799418049
"Cell585","Cell585","Batch1","Group3",51138.7909613505
"Cell586","Cell586","Batch1","Group4",50172.621953539
"Cell587","Cell587","Batch1","Group1",48314.9868200502
"Cell588","Cell588","Batch1","Group1",54631.8215213448
"Cell589","Cell589","Batch1","Group4",68400.0888862
"Cell590","Cell590","Batch1","Group6",69040.2980274363
"Cell591","Cell591","Batch1","Group3",65420.4935569976
"Cell592","Cell592","Batch1","Group1",69697.3420874057
"Cell593","Cell593","Batch1","Group4",54514.6344593806
"Cell594","Cell594","Batch1","Group1",57841.2810308254
"Cell595","Cell595","Batch1","Group6",68624.8490982741
"Cell596","Cell596","Batch1","Group4",56595.4874709736
"Cell597","Cell597","Batch1","Group5",49398.5072552125
"Cell598","Cell598","Batch1","Group4",45454.6302931488
"Cell599","Cell599","Batch1","Group2",102694.858084637
"Cell600","Cell600","Batch1","Group4",42619.0659177035
"Cell601","Cell601","Batch1","Group4",60226.2348103968
"Cell602","Cell602","Batch1","Group3",88155.9661413732
"Cell603","Cell603","Batch1","Group6",70792.0634359189
"Cell604","Cell604","Batch1","Group3",57695.2850229063
"Cell605","Cell605","Batch1","Group5",66613.7196159529
"Cell606","Cell606","Batch1","Group4",85561.5473842699
"Cell607","Cell607","Batch1","Group6",62188.511802903
"Cell608","Cell608","Batch1","Group2",53432.9297867216
"Cell609","Cell609","Batch1","Group4",80047.7482643599
"Cell610","Cell610","Batch1","Group5",87011.7712765089
"Cell611","Cell611","Batch1","Group4",49172.4615534359
"Cell612","Cell612","Batch1","Group5",69130.503533801
"Cell613","Cell613","Batch1","Group6",61443.2620326593
"Cell614","Cell614","Batch1","Group4",68894.2680875671
"Cell615","Cell615","Batch1","Group1",66525.4304535073
"Cell616","Cell616","Batch1","Group1",59629.0040735386
"Cell617","Cell617","Batch1","Group2",65358.9856159337
"Cell618","Cell618","Batch1","Group3",46999.5960916079
"Cell619","Cell619","Batch1","Group4",45211.9183437474
"Cell620","Cell620","Batch1","Group3",69158.0560534636
"Cell621","Cell621","Batch1","Group4",60913.3170555168
"Cell622","Cell622","Batch1","Group5",58318.6134605685
"Cell623","Cell623","Batch1","Group3",42821.2435994254
"Cell624","Cell624","Batch1","Group6",53428.5433521328
"Cell625","Cell625","Batch1","Group2",62220.5761429237
"Cell626","Cell626","Batch1","Group6",54324.7615531484
"Cell627","Cell627","Batch1","Group3",60855.4587443742
"Cell628","Cell628","Batch1","Group4",64665.2634138999
"Cell629","Cell629","Batch1","Group6",58250.0136517289
"Cell630","Cell630","Batch1","Group4",65219.8155910047
"Cell631","Cell631","Batch1","Group4",57033.1017259969
"Cell632","Cell632","Batch1","Group3",56180.7490962482
"Cell633","Cell633","Batch1","Group3",56907.2894242502
"Cell634","Cell634","Batch1","Group3",68034.9951292149
"Cell635","Cell635","Batch1","Group5",70559.6038739235
"Cell636","Cell636","Batch1","Group6",95520.4669688066
"Cell637","Cell637","Batch1","Group2",49184.7300012049
"Cell638","Cell638","Batch1","Group5",51974.5010045853
"Cell639","Cell639","Batch1","Group1",68106.6283683732
"Cell640","Cell640","Batch1","Group6",83077.8223355135
"Cell641","Cell641","Batch1","Group3",76521.6996335716
"Cell642","Cell642","Batch1","Group2",54527.4147074876
"Cell643","Cell643","Batch1","Group5",52279.1959143883
"Cell644","Cell644","Batch1","Group6",84059.5247014725
"Cell645","Cell645","Batch1","Group5",81517.2040848679
"Cell646","Cell646","Batch1","Group6",62498.9801763014
"Cell647","Cell647","Batch1","Group4",84131.6118289297
"Cell648","Cell648","Batch1","Group4",59778.5771472717
"Cell649","Cell649","Batch1","Group1",50839.0443052438
"Cell650","Cell650","Batch1","Group1",59271.150510703
"Cell651","Cell651","Batch1","Group3",60838.8727022253
"Cell652","Cell652","Batch1","Group1",43830.5253937243
"Cell653","Cell653","Batch1","Group1",57855.3037013804
"Cell654","Cell654","Batch1","Group6",55065.4954129197
"Cell655","Cell655","Batch1","Group5",66055.9483118191
"Cell656","Cell656","Batch1","Group4",53839.049701977
"Cell657","Cell657","Batch1","Group3",65936.2749516084
"Cell658","Cell658","Batch1","Group2",66653.1914385669
"Cell659","Cell659","Batch1","Group4",56620.9965073122
"Cell660","Cell660","Batch1","Group3",59355.4098223007
"Cell661","Cell661","Batch1","Group6",96404.0081825959
"Cell662","Cell662","Batch1","Group1",81601.7692474443
"Cell663","Cell663","Batch1","Group4",81711.693647445
"Cell664","Cell664","Batch1","Group6",60574.0732300673
"Cell665","Cell665","Batch1","Group3",50617.0733777112
"Cell666","Cell666","Batch1","Group6",67119.150842733
"Cell667","Cell667","Batch1","Group5",60670.2994421512
"Cell668","Cell668","Batch1","Group4",122630.604301273
"Cell669","Cell669","Batch1","Group1",40685.2496495807
"Cell670","Cell670","Batch1","Group3",57493.8634884819
"Cell671","Cell671","Batch1","Group4",80558.8329729662
"Cell672","Cell672","Batch1","Group6",39351.7891325551
"Cell673","Cell673","Batch1","Group2",56844.245229916
"Cell674","Cell674","Batch1","Group4",64011.2153720574
"Cell675","Cell675","Batch1","Group2",57300.9499828859
"Cell676","Cell676","Batch1","Group2",49694.306060887
"Cell677","Cell677","Batch1","Group3",58428.0847422788
"Cell678","Cell678","Batch1","Group3",78253.2534123207
"Cell679","Cell679","Batch1","Group3",45721.9497290183
"Cell680","Cell680","Batch1","Group4",79456.6719299821
"Cell681","Cell681","Batch1","Group4",71884.0576115285
"Cell682","Cell682","Batch1","Group1",46754.3424157377
"Cell683","Cell683","Batch1","Group6",44349.11040679
"Cell684","Cell684","Batch1","Group1",60289.1683230235
"Cell685","Cell685","Batch1","Group3",63402.5860534815
"Cell686","Cell686","Batch1","Group6",75905.2870278848
"Cell687","Cell687","Batch1","Group2",59426.1786116669
"Cell688","Cell688","Batch1","Group2",65125.6864041225
"Cell689","Cell689","Batch1","Group6",77485.7475980344
"Cell690","Cell690","Batch1","Group5",75670.0588206866
"Cell691","Cell691","Batch1","Group5",70630.5981266116
"Cell692","Cell692","Batch1","Group2",63881.3932820169
"Cell693","Cell693","Batch1","Group1",64614.2389258248
"Cell694","Cell694","Batch1","Group1",76154.8401134348
"Cell695","Cell695","Batch1","Group2",74640.6952468631
"Cell696","Cell696","Batch1","Group6",59142.0237224924
"Cell697","Cell697","Batch1","Group5",64403.160231049
"Cell698","Cell698","Batch1","Group1",83994.8242618836
"Cell699","Cell699","Batch1","Group1",80360.1272554265
"Cell700","Cell700","Batch1","Group4",49244.3770117181
"Cell701","Cell701","Batch1","Group6",79988.6745025732
"Cell702","Cell702","Batch1","Group5",58854.8114897996
"Cell703","Cell703","Batch1","Group3",43706.2346248927
"Cell704","Cell704","Batch1","Group6",77535.8145555939
"Cell705","Cell705","Batch1","Group6",60894.2207068466
"Cell706","Cell706","Batch1","Group6",72650.03852613
"Cell707","Cell707","Batch1","Group3",88240.6128215175
"Cell708","Cell708","Batch1","Group3",74308.0468974159
"Cell709","Cell709","Batch1","Group3",55786.1714753259
"Cell710","Cell710","Batch1","Group5",58280.0649674998
"Cell711","Cell711","Batch1","Group1",49147.1192929838
"Cell712","Cell712","Batch1","Group1",50800.3422519974
"Cell713","Cell713","Batch1","Group4",66032.7549158541
"Cell714","Cell714","Batch1","Group6",56395.4921694384
"Cell715","Cell715","Batch1","Group6",68299.0393096106
"Cell716","Cell716","Batch1","Group6",70719.8735967855
"Cell717","Cell717","Batch1","Group4",64388.6498661107
"Cell718","Cell718","Batch1","Group3",55285.7720770076
"Cell719","Cell719","Batch1","Group2",44374.2223491898
"Cell720","Cell720","Batch1","Group6",61262.6498382535
"Cell721","Cell721","Batch1","Group3",48651.439522183
"Cell722","Cell722","Batch1","Group5",68131.5568213027
"Cell723","Cell723","Batch1","Group2",69882.3980267137
"Cell724","Cell724","Batch1","Group4",63780.5032937948
"Cell725","Cell725","Batch1","Group3",48648.5574236729
"Cell726","Cell726","Batch1","Group6",51481.2293710899
"Cell727","Cell727","Batch1","Group4",54268.4951682527
"Cell728","Cell728","Batch1","Group4",61663.3573292692
"Cell729","Cell729","Batch1","Group4",95922.9561997811
"Cell730","Cell730","Batch1","Group5",49804.7802109977
"Cell731","Cell731","Batch1","Group4",38895.3678207608
"Cell732","Cell732","Batch1","Group1",58449.5922067334
"Cell733","Cell733","Batch1","Group1",50622.4855024184
"Cell734","Cell734","Batch1","Group1",38774.2644534587
"Cell735","Cell735","Batch1","Group2",50268.7255752629
"Cell736","Cell736","Batch1","Group4",55563.6300395738
"Cell737","Cell737","Batch1","Group4",48029.0088113638
"Cell738","Cell738","Batch1","Group6",69087.6986953257
"Cell739","Cell739","Batch1","Group5",71791.980825872
"Cell740","Cell740","Batch1","Group1",56108.2967786315
"Cell741","Cell741","Batch1","Group1",44519.5106457131
"Cell742","Cell742","Batch1","Group5",67429.2532872869
"Cell743","Cell743","Batch1","Group5",50464.483084764
"Cell744","Cell744","Batch1","Group1",50717.0027172494
"Cell745","Cell745","Batch1","Group1",61686.5603101805
"Cell746","Cell746","Batch1","Group4",49255.22792476
"Cell747","Cell747","Batch1","Group2",56447.3214484428
"Cell748","Cell748","Batch1","Group6",51318.4192712144
"Cell749","Cell749","Batch1","Group1",64760.8634912585
"Cell750","Cell750","Batch1","Group4",50551.0410664602
"Cell751","Cell751","Batch1","Group3",50576.7879477738
"Cell752","Cell752","Batch1","Group2",49395.8806053015
"Cell753","Cell753","Batch1","Group4",60006.6057316284
"Cell754","Cell754","Batch1","Group3",76342.8602679604
"Cell755","Cell755","Batch1","Group2",50122.4503185529
"Cell756","Cell756","Batch1","Group3",62543.6662821542
"Cell757","Cell757","Batch1","Group5",52510.9290911049
"Cell758","Cell758","Batch1","Group2",48160.6140709405
"Cell759","Cell759","Batch1","Group1",74475.5512689735
"Cell760","Cell760","Batch1","Group1",53431.4357216785
"Cell761","Cell761","Batch1","Group1",82798.2351984747
"Cell762","Cell762","Batch1","Group6",52187.7102789977
"Cell763","Cell763","Batch1","Group2",68281.8547698204
"Cell764","Cell764","Batch1","Group2",74767.489942424
"Cell765","Cell765","Batch1","Group6",91871.3167589724
"Cell766","Cell766","Batch1","Group6",50706.3099363515
"Cell767","Cell767","Batch1","Group1",60796.1152038646
"Cell768","Cell768","Batch1","Group4",72197.8025801521
"Cell769","Cell769","Batch1","Group4",54158.307626144
"Cell770","Cell770","Batch1","Group5",67438.4556480559
"Cell771","Cell771","Batch1","Group4",54933.0124347947
"Cell772","Cell772","Batch1","Group2",47730.8008906076
"Cell773","Cell773","Batch1","Group4",38275.5154728063
"Cell774","Cell774","Batch1","Group3",66365.1875761809
"Cell775","Cell775","Batch1","Group6",55916.7120040077
"Cell776","Cell776","Batch1","Group2",84421.3394544245
"Cell777","Cell777","Batch1","Group1",47892.9896232942
"Cell778","Cell778","Batch1","Group1",54301.3341807159
"Cell779","Cell779","Batch1","Group6",70366.0695034163
"Cell780","Cell780","Batch1","Group1",56828.7848383945
"Cell781","Cell781","Batch1","Group5",66013.3308748691
"Cell782","Cell782","Batch1","Group5",78476.678008352
"Cell783","Cell783","Batch1","Group4",92536.9328866404
"Cell784","Cell784","Batch1","Group2",60492.6665269546
"Cell785","Cell785","Batch1","Group6",50634.1187149394
"Cell786","Cell786","Batch1","Group2",48198.202081935
"Cell787","Cell787","Batch1","Group3",53674.5074503134
"Cell788","Cell788","Batch1","Group5",54978.5319073445
"Cell789","Cell789","Batch1","Group4",46995.1878330762
"Cell790","Cell790","Batch1","Group2",67478.1148305486
"Cell791","Cell791","Batch1","Group1",79600.7789681628
"Cell792","Cell792","Batch1","Group4",54794.2354501969
"Cell793","Cell793","Batch1","Group6",48626.9560258874
"Cell794","Cell794","Batch1","Group2",46407.6958973847
"Cell795","Cell795","Batch1","Group5",69844.7584932198
"Cell796","Cell796","Batch1","Group3",60252.8121164294
"Cell797","Cell797","Batch1","Group4",40905.878066523
"Cell798","Cell798","Batch1","Group2",58410.3841951723
"Cell799","Cell799","Batch1","Group6",59878.0741050898
"Cell800","Cell800","Batch1","Group2",50576.6016859614
"Cell801","Cell801","Batch1","Group1",46898.1414592305
"Cell802","Cell802","Batch1","Group1",54688.1758419769
"Cell803","Cell803","Batch1","Group3",52027.9323407591
"Cell804","Cell804","Batch1","Group5",52319.4734945547
"Cell805","Cell805","Batch1","Group5",37774.7195126713
"Cell806","Cell806","Batch1","Group2",58112.3461790071
"Cell807","Cell807","Batch1","Group5",72383.8087992364
"Cell808","Cell808","Batch1","Group3",75453.5483391476
"Cell809","Cell809","Batch1","Group3",90659.9068636412
"Cell810","Cell810","Batch1","Group5",63136.7314500727
"Cell811","Cell811","Batch1","Group2",48513.5895299609
"Cell812","Cell812","Batch1","Group1",66202.1651274985
"Cell813","Cell813","Batch1","Group4",74605.4622950339
"Cell814","Cell814","Batch1","Group5",87317.0447411932
"Cell815","Cell815","Batch1","Group6",70421.2751366833
"Cell816","Cell816","Batch1","Group5",79510.8493989951
"Cell817","Cell817","Batch1","Group1",65370.9977978946
"Cell818","Cell818","Batch1","Group2",46374.2523654373
"Cell819","Cell819","Batch1","Group2",50398.9368180858
"Cell820","Cell820","Batch1","Group5",87325.4458231359
"Cell821","Cell821","Batch1","Group3",68927.9794677663
"Cell822","Cell822","Batch1","Group5",52389.2080018028
"Cell823","Cell823","Batch1","Group4",51992.6234925504
"Cell824","Cell824","Batch1","Group2",49804.2840302738
"Cell825","Cell825","Batch1","Group2",61678.7448347631
"Cell826","Cell826","Batch1","Group1",56953.8476092164
"Cell827","Cell827","Batch1","Group3",49595.0450321637
"Cell828","Cell828","Batch1","Group2",76331.4105101614
"Cell829","Cell829","Batch1","Group3",60096.884861948
"Cell830","Cell830","Batch1","Group2",69672.874076878
"Cell831","Cell831","Batch1","Group3",55491.6290261317
"Cell832","Cell832","Batch1","Group4",62006.2051863155
"Cell833","Cell833","Batch1","Group2",73622.4040909247
"Cell834","Cell834","Batch1","Group4",68538.0811575724
"Cell835","Cell835","Batch1","Group5",72276.639338312
"Cell836","Cell836","Batch1","Group5",41550.8802549499
"Cell837","Cell837","Batch1","Group3",62034.1845790028
"Cell838","Cell838","Batch1","Group6",57620.773206356
"Cell839","Cell839","Batch1","Group1",52573.1208678143
"Cell840","Cell840","Batch1","Group2",53522.678044344
"Cell841","Cell841","Batch1","Group6",83713.3011694331
"Cell842","Cell842","Batch1","Group6",65258.1955820657
"Cell843","Cell843","Batch1","Group2",58167.3032445238
"Cell844","Cell844","Batch1","Group5",72244.0422544635
"Cell845","Cell845","Batch1","Group5",53685.6301704207
"Cell846","Cell846","Batch1","Group2",61560.1529577257
"Cell847","Cell847","Batch1","Group3",79967.2506262485
"Cell848","Cell848","Batch1","Group4",56020.5789111947
"Cell849","Cell849","Batch1","Group6",51029.9883391024
"Cell850","Cell850","Batch1","Group3",53655.617605457
"Cell851","Cell851","Batch1","Group5",48525.308186112
"Cell852","Cell852","Batch1","Group6",62977.4810740573
"Cell853","Cell853","Batch1","Group3",63931.8128911617
"Cell854","Cell854","Batch1","Group4",71049.6693747705
"Cell855","Cell855","Batch1","Group6",85849.621230625
"Cell856","Cell856","Batch1","Group2",79304.3421687118
"Cell857","Cell857","Batch1","Group5",46622.644761561
"Cell858","Cell858","Batch1","Group1",89305.8050485492
"Cell859","Cell859","Batch1","Group4",61565.4242638204
"Cell860","Cell860","Batch1","Group1",55418.357425148
"Cell861","Cell861","Batch1","Group1",86779.625001551
"Cell862","Cell862","Batch1","Group6",65236.2827411637
"Cell863","Cell863","Batch1","Group3",84639.6428898514
"Cell864","Cell864","Batch1","Group3",59355.2150248281
"Cell865","Cell865","Batch1","Group3",51729.4659099026
"Cell866","Cell866","Batch1","Group1",40408.9746772824
"Cell867","Cell867","Batch1","Group2",75009.7259195131
"Cell868","Cell868","Batch1","Group3",50130.411672039
"Cell869","Cell869","Batch1","Group4",71272.9286572546
"Cell870","Cell870","Batch1","Group4",61327.198184751
"Cell871","Cell871","Batch1","Group6",65807.3615661581
"Cell872","Cell872","Batch1","Group1",77136.2009641179
"Cell873","Cell873","Batch1","Group2",54335.6986826992
"Cell874","Cell874","Batch1","Group6",54594.7652592002
"Cell875","Cell875","Batch1","Group4",57162.212163411
"Cell876","Cell876","Batch1","Group6",74018.5306100701
"Cell877","Cell877","Batch1","Group2",54450.2575893282
"Cell878","Cell878","Batch1","Group4",57808.8954771949
"Cell879","Cell879","Batch1","Group1",70211.3248616167
"Cell880","Cell880","Batch1","Group5",69964.9067493668
"Cell881","Cell881","Batch1","Group1",70218.0383282528
"Cell882","Cell882","Batch1","Group6",60464.4165366004
"Cell883","Cell883","Batch1","Group5",69739.5304238418
"Cell884","Cell884","Batch1","Group6",63398.6986333806
"Cell885","Cell885","Batch1","Group1",52756.2217562846
"Cell886","Cell886","Batch1","Group2",85894.6561715646
"Cell887","Cell887","Batch1","Group3",41249.6458139364
"Cell888","Cell888","Batch1","Group2",70905.6696545979
"Cell889","Cell889","Batch1","Group6",64108.5831588597
"Cell890","Cell890","Batch1","Group6",60147.5218605763
"Cell891","Cell891","Batch1","Group3",52982.6617547567
"Cell892","Cell892","Batch1","Group4",56834.2630471711
"Cell893","Cell893","Batch1","Group5",85916.7482632683
"Cell894","Cell894","Batch1","Group4",58723.7865820988
"Cell895","Cell895","Batch1","Group4",55442.5517500983
"Cell896","Cell896","Batch1","Group1",50227.9825402552
"Cell897","Cell897","Batch1","Group4",54224.292906139
"Cell898","Cell898","Batch1","Group2",58873.2148173366
"Cell899","Cell899","Batch1","Group6",45636.1564803047
"Cell900","Cell900","Batch1","Group6",75247.6206884738
"Cell901","Cell901","Batch1","Group2",61057.1388687419
"Cell902","Cell902","Batch1","Group2",80258.1991381732
"Cell903","Cell903","Batch1","Group4",72990.6894740355
"Cell904","Cell904","Batch1","Group2",79449.5374577151
"Cell905","Cell905","Batch1","Group5",45835.7872568705
"Cell906","Cell906","Batch1","Group1",67232.8151279902
"Cell907","Cell907","Batch1","Group4",55694.4487258756
"Cell908","Cell908","Batch1","Group3",59315.7121386489
"Cell909","Cell909","Batch1","Group5",53109.1498379214
"Cell910","Cell910","Batch1","Group2",62506.1917391855
"Cell911","Cell911","Batch1","Group4",61005.9266782574
"Cell912","Cell912","Batch1","Group3",39184.3658933497
"Cell913","Cell913","Batch1","Group1",71003.795885112
"Cell914","Cell914","Batch1","Group1",61751.5845236268
"Cell915","Cell915","Batch1","Group6",49297.4518439123
"Cell916","Cell916","Batch1","Group6",48036.40465864
"Cell917","Cell917","Batch1","Group1",52153.7320872292
"Cell918","Cell918","Batch1","Group5",43620.0861845741
"Cell919","Cell919","Batch1","Group3",61546.8045109827
"Cell920","Cell920","Batch1","Group2",80859.5348782682
"Cell921","Cell921","Batch1","Group6",62228.9943630112
"Cell922","Cell922","Batch1","Group1",66531.5098601848
"Cell923","Cell923","Batch1","Group1",44505.0854659928
"Cell924","Cell924","Batch1","Group2",44009.4584837381
"Cell925","Cell925","Batch1","Group5",50046.7787792456
"Cell926","Cell926","Batch1","Group1",69162.4936884573
"Cell927","Cell927","Batch1","Group2",50166.3424184612
"Cell928","Cell928","Batch1","Group4",66951.228813076
"Cell929","Cell929","Batch1","Group2",57311.2660769877
"Cell930","Cell930","Batch1","Group4",64648.7918500173
"Cell931","Cell931","Batch1","Group4",48638.7578140087
"Cell932","Cell932","Batch1","Group1",49523.4488378549
"Cell933","Cell933","Batch1","Group1",58639.7345163734
"Cell934","Cell934","Batch1","Group1",57426.3065426011
"Cell935","Cell935","Batch1","Group6",41867.0316033041
"Cell936","Cell936","Batch1","Group2",66663.7685533439
"Cell937","Cell937","Batch1","Group2",40540.6634820736
"Cell938","Cell938","Batch1","Group4",55102.6510651884
"Cell939","Cell939","Batch1","Group3",60537.9629566786
"Cell940","Cell940","Batch1","Group6",52031.2644431116
"Cell941","Cell941","Batch1","Group4",45217.1714713462
"Cell942","Cell942","Batch1","Group5",55283.8009280689
"Cell943","Cell943","Batch1","Group2",58566.3536040697
"Cell944","Cell944","Batch1","Group4",49770.8280748093
"Cell945","Cell945","Batch1","Group6",45640.5292418083
"Cell946","Cell946","Batch1","Group4",47149.5197979961
"Cell947","Cell947","Batch1","Group2",53868.568610581
"Cell948","Cell948","Batch1","Group6",54692.1037632287
"Cell949","Cell949","Batch1","Group5",79530.5925548744
"Cell950","Cell950","Batch1","Group2",46298.4504122749
"Cell951","Cell951","Batch1","Group4",64616.8045226875
"Cell952","Cell952","Batch1","Group4",55078.0351627831
"Cell953","Cell953","Batch1","Group3",60996.5316997311
"Cell954","Cell954","Batch1","Group6",52432.5621739976
"Cell955","Cell955","Batch1","Group4",70302.6995790553
"Cell956","Cell956","Batch1","Group5",42590.3708754979
"Cell957","Cell957","Batch1","Group5",61745.8110234962
"Cell958","Cell958","Batch1","Group6",60187.2069744865
"Cell959","Cell959","Batch1","Group5",73952.085987214
"Cell960","Cell960","Batch1","Group6",57245.629456428
"Cell961","Cell961","Batch1","Group4",66126.1313233915
"Cell962","Cell962","Batch1","Group5",64856.135176896
"Cell963","Cell963","Batch1","Group2",52607.6828508424
"Cell964","Cell964","Batch1","Group6",58879.4520440573
"Cell965","Cell965","Batch1","Group2",58295.2421947
"Cell966","Cell966","Batch1","Group1",74900.8689640962
"Cell967","Cell967","Batch1","Group2",62808.4058438977
"Cell968","Cell968","Batch1","Group3",63457.1683532393
"Cell969","Cell969","Batch1","Group6",95675.7628571126
"Cell970","Cell970","Batch1","Group3",65072.6503543096
"Cell971","Cell971","Batch1","Group4",64376.0028163141
"Cell972","Cell972","Batch1","Group4",66591.7866330387
"Cell973","Cell973","Batch1","Group5",81601.950811325
"Cell974","Cell974","Batch1","Group5",72569.3300258925
"Cell975","Cell975","Batch1","Group2",64067.1631129302
"Cell976","Cell976","Batch1","Group3",52987.3984487739
"Cell977","Cell977","Batch1","Group3",64306.1409339864
"Cell978","Cell978","Batch1","Group4",61592.8909358048
"Cell979","Cell979","Batch1","Group6",41470.6709072463
"Cell980","Cell980","Batch1","Group2",43993.3511265254
"Cell981","Cell981","Batch1","Group4",41819.7262527715
"Cell982","Cell982","Batch1","Group2",79451.5738983903
"Cell983","Cell983","Batch1","Group4",67755.9513949746
"Cell984","Cell984","Batch1","Group6",37418.0662865988
"Cell985","Cell985","Batch1","Group4",65736.283822879
"Cell986","Cell986","Batch1","Group3",60643.4182101636
"Cell987","Cell987","Batch1","Group1",56882.778494254
"Cell988","Cell988","Batch1","Group2",51590.6427179309
"Cell989","Cell989","Batch1","Group3",46452.9357536335
"Cell990","Cell990","Batch1","Group1",71148.5768767823
"Cell991","Cell991","Batch1","Group6",53349.1362113116
"Cell992","Cell992","Batch1","Group2",58311.0289546734
"Cell993","Cell993","Batch1","Group6",67330.2988501384
"Cell994","Cell994","Batch1","Group1",66635.9869639948
"Cell995","Cell995","Batch1","Group2",55343.6945810825
"Cell996","Cell996","Batch1","Group2",53738.1317285218
"Cell997","Cell997","Batch1","Group5",63063.0427151172
"Cell998","Cell998","Batch1","Group2",47303.7213943363
"Cell999","Cell999","Batch1","Group4",63654.6524582702
"Cell1000","Cell1000","Batch1","Group2",61988.0092310581
