	T1	T2	FO1	FO2	FO	MZ	T1log	T2log	FO1log	FO2log	FOlog	MZlog	fold
Dennd2d	5.85999	16.7922	13.9283	22.2803	18.1043	32.7639	2.778206473	4.153173005	3.899977979	4.541037744	4.255825492	5.077409651	2.226534846
A930005H10Rik	12.3203	22.5281	18.0819	22.7649	20.4234	42.1148	3.73555467	4.556312916	4.254132924	4.570760426	4.421115556	5.430111283	2.225493823
Ero1l	4.63765	5.80911	4.34249	5.88038	5.111435	11.4626	2.495093914	2.76746624	2.417512302	2.782488246	2.611511173	3.639533176	2.218249674
Itgb1	10.4034	8.97882	5.4048	8.12729	6.766045	18.2493	3.511392133	3.318869226	2.679153521	3.190186571	2.957180067	4.266734078	2.217795239
Ids	4.14045	3.72504	4.95515	6.85262	5.903885	10.8973	2.36189466	2.240326543	2.574137848	2.973174085	2.787408433	3.572562297	2.215657192
Huwe1	22.8021	21.2654	18.1412	23.44	20.7906	47.3117	4.573016959	4.476731625	4.258609373	4.61117238	4.445634016	5.594300714	2.209570023
Zfp397	9.2133	6.01323	6.43987	6.51077	6.47532	15.5627	3.352377183	2.810079042	2.895277413	2.90896082	2.902135339	4.049865971	2.209263741
Ermp1	6.96748	7.08284	4.98895	7.15042	6.069685	14.3776	2.994123493	3.01486229	2.582303088	3.026874405	2.821645935	3.942758453	2.195917554
Tmem131	18.967	18.4111	12.8293	16.8175	14.8234	36.7605	4.319545682	4.278809971	3.789656228	4.155223019	3.983987722	5.238805963	2.193841393
Tespa1	7.74177	11.9261	17.6938	23.2516	20.4727	33.1987	3.127925421	3.692215153	4.224487959	4.600008027	4.424431703	5.09586958	2.190853587
Top1	15.9093	11.5362	8.33518	14.2408	11.28799	27.3435	4.079745032	3.648028196	3.222677841	3.929866728	3.619177042	4.824946015	2.186540662
Ggnbp1	5.33082	6.40405	2.32196	6.56884	4.4454	11.2656	2.662392377	2.888314638	1.732034702	2.92007221	2.445038028	3.616545903	2.184772664
Herc2	8.96832	7.97696	6.40244	9.30313	7.852785	17.7559	3.317350382	3.166226967	2.888000892	3.365010777	3.146131384	4.229272587	2.175245055
Cd86	8.00271	10.4311	8.3113	12.812	10.56165	21.4905	3.170359348	3.514892334	3.218982604	3.787850334	3.531275399	4.49124383	2.173111231
Malt1	46.2344	35.901	27.1156	41.8808	34.4982	81.9277	5.561766027	5.205588008	4.81329893	5.422259916	5.149673967	6.373782175	2.168377535
Eps15	26.2467	20.6099	15.4677	19.5762	17.52195	44.3801	4.768009603	4.433620491	4.041567167	4.362904666	4.211164089	5.503987883	2.167513019
Inpp5f	12.684	16.2667	12.7231	17.2765	14.9998	31.8393	3.774418104	4.109920477	3.778534513	4.191917912	3.999981966	5.03735147	2.160416486
Cd180	73.7959	83.3188	67.5603	92.0493	79.8048	170.678	6.224887285	6.39778243	6.099301517	6.539923392	6.33636909	7.423561364	2.155540323
Hmgn3	9.42855	9.94594	3.73733	6.1781	4.957715	15.6246	3.382466672	3.452323948	2.244074173	2.843602022	2.574759111	4.055247724	2.133785275
Usp9x	9.92503	7.7748	6.8593	9.73252	8.29591	18.2439	3.449565336	3.133366243	2.974400822	3.423916956	3.216596101	4.266329303	2.128086575
Abcc1	1.55192	5.81351	6.35302	7.49823	6.925625	11.2787	1.351583103	2.768398198	2.878336909	3.08716239	2.986524708	3.618085919	2.126383581
Ranbp6	10.3042	7.61052	4.44564	8.23469	6.340165	16.1198	3.498786991	3.106100366	2.445101612	3.207063532	2.875812494	4.097593943	2.107504319
Itga4	27.9232	20.4171	17.1195	26.5191	21.8193	48.3109	4.854155273	4.420691239	4.17947124	4.782361383	4.512182631	5.623834679	2.100955763
Cept1	14.3271	22.6987	24.0353	34.5696	29.30245	49.7322	3.938012849	4.566736017	4.645891838	5.152572845	4.921362537	5.664829819	2.080177182
Gm11648	13.6851	16.7904	10.6011	13.2355	11.9183	27.7973	3.876281185	4.153027043	3.536189701	3.831421261	3.691344324	4.847861648	2.047227045
Phtf2	10.569	10.6864	8.32329	11.6891	10.006195	21.0415	3.532192261	3.54675867	3.220839143	3.665517842	3.46024389	4.462150503	2.039508294
Clcn3	12.8216	9.26762	6.49291	10.8348	8.663855	20.0441	3.788852728	3.360029903	2.905526123	3.564963421	3.272598808	4.395343906	2.034059984
Ltk	5.41428	6.6848	6.68703	7.62972	7.158375	13.4302	2.681287333	2.942007714	2.942426299	3.10931375	3.028281822	3.85101939	2.033659363
Abcg3	7.36681	8.50705	3.78181	6.75806	5.269935	13.4243	3.064677674	3.248997748	2.257556807	2.955695934	2.648450487	3.850429403	2.032927572
C130026I21Rik	5.33371	5.89016	4.73217	6.93041	5.83129	11.6287	2.663050813	2.784537485	2.519081397	2.987395455	2.772158038	3.65863423	2.032416561
Tbl1xr1	11.1206	11.7541	9.68381	11.9877	10.835755	22.5394	3.599389212	3.672889193	3.417354319	3.699074061	3.565079833	4.557005643	2.023911799
Clic4	26.6373	23.5424	12.6973	20.9222	16.80975	42.3303	4.788544775	4.617204432	3.775819633	4.454320682	4.15459536	5.43730432	2.020558669
Macf1	30.7548	34.6735	34.3682	51.5146	42.9414	76.0414	4.988902779	5.156780863	5.144380892	5.714646669	5.457508931	6.267562015	2.010200177
Larp4	11.5192	9.69232	6.17178	10.5324	8.35209	18.9901	3.646070469	3.418503015	2.842331233	3.527620877	3.225288814	4.321213784	2.003402285
Plekha1	11.2316	12.7275	9.38608	13.162	11.27404	23.2088	3.612541228	3.778997006	3.376579338	3.823953116	3.617538285	4.597459663	1.996147692
Slc7a1	5.02597	7.08528	6.41141	9.04728	7.729345	13.7231	2.591193491	3.015297736	2.889748037	3.328733083	3.125873406	3.880009563	1.991023557
Tmem18	7.71253	7.33487	3.39527	5.95953	4.6774	12.1307	3.123091719	3.059159697	2.135951792	2.798989879	2.50523039	3.714871924	1.988460057
Fubp1	15.0653	18.0368	14.8014	16.2718	15.5366	31.6675	4.005876017	4.250719083	3.981980481	4.110346538	4.047590735	5.029784146	1.973812355
Atl3	9.74072	7.14257	5.16185	9.39379	7.27782	15.5109	3.425018802	3.025484217	2.623363563	3.377649911	3.049250878	4.045346858	1.97346411
Bcap29	9.6578	13.74	13.0289	16.0364	14.53265	25.7547	3.41383776	3.881664619	3.810329987	4.090548604	3.957232081	4.741720447	1.963643018
Pde3b	6.95919	5.34041	4.09853	6.32585	5.21219	11.129	2.992621616	2.664576135	2.350081352	2.872996162	2.635101955	3.600388704	1.958987818
Nlrc4	7.43737	6.48045	6.09827	9.27827	7.68827	14.1515	3.076793369	2.903125061	2.827467452	3.361525551	3.119068938	3.921388723	1.932317347
Gypc	5.00012	7.99302	8.87528	9.64221	9.258745	15.2141	2.584991354	3.168805677	3.303821654	3.411725872	3.358782345	4.019177041	1.93129747
Maml2	5.11539	5.27246	6.41728	7.38808	6.90268	11.6651	2.612444507	2.649031365	2.890890231	3.068340621	2.982341991	3.662786563	1.928656842
Zranb2	18.5865	16.2644	13.4724	15.7453	14.60885	30.8538	4.291787714	4.109728291	3.855232283	4.065684318	3.964292344	4.993393584	1.92629775
Ms4a6c	9.69549	20.8454	22.6863	16.9798	19.83305	33.7792	3.418930674	4.449257617	4.56598095	4.168305068	4.380802163	5.120152843	1.924549108
Slc2a4rg-ps	5.33625	8.49071	8.28483	8.79921	8.54202	14.8585	2.663629259	3.246516019	3.214875495	3.292665446	3.25429471	3.987184413	1.922745948
Slc20a2	5.60799	8.03548	6.99963	7.53285	7.26624	13.397	2.724211504	3.175601245	2.999933274	3.093027687	3.047231251	3.847696314	1.901905703
Nup153	15.5985	12.9294	10.1374	14.7928	12.4651	25.3951	4.052980967	3.800061211	3.477340573	3.981195073	3.751153039	4.722198227	1.900187249
Erap1	16.4412	16.11	7.57963	13.7047	10.642165	25.5452	4.1244274	4.096767855	3.100915432	3.878205446	3.541287465	4.730379106	1.898017908
Cd38	53.2869	70.8613	67.8258	75.2476	71.5367	125.478	5.762532197	6.167143129	6.104877569	6.252620022	6.180639207	6.982742649	1.878261338
Pqlc2	11.1365	15.3029	12.0086	13.4089	12.70875	24.3502	3.601280523	4.027056712	3.701393801	3.848888297	3.777025123	4.663925224	1.878261138
Abl2	5.72106	4.82352	5.48562	6.83035	6.157985	10.7098	2.748688783	2.541891447	2.697244497	2.969076794	2.839553521	3.54964453	1.873935666
Tmem168	10.1531	9.55561	8.30865	12.3796	10.344125	18.9053	3.479372857	3.399938048	3.218571954	3.74196308	3.50387343	4.31508071	1.871952741
Dnajc3	11.9376	10.3602	8.82294	10.6768	9.74987	19.53	3.693498109	3.505916329	3.296154887	3.545573056	3.426247308	4.359661722	1.869009516
Irgm2	6.98505	6.02156	7.59218	8.15007	7.871125	13.3193	2.997301441	2.811791594	3.103024217	3.19378278	3.149117073	3.839889063	1.853193483
Ufl1	7.59158	7.53116	6.42055	9.62796	8.024255	14.3191	3.102923469	3.092741921	2.891526121	3.409792798	3.173807835	3.937259636	1.837475238
Notch2	20.9274	22.5152	19.0212	34.3656	26.6934	44.3798	4.454662852	4.555521697	4.323456542	5.144274833	4.791470283	5.503978346	1.833319219
Cdc37l1	9.08576	7.36314	6.49005	8.25333	7.37169	14.2308	3.334247895	3.064044714	2.904975349	3.209972642	3.06551889	3.928919816	1.824913087
2010012O05Rik	5.82038	8.03967	6.46947	7.55576	7.012615	12.7054	2.769852122	3.176270107	2.901005879	3.096896014	3.002273158	3.77667253	1.822524285
Dennd4a	10.1299	12.1315	12.3023	15.9716	14.13695	23.0046	3.476368725	3.714959818	3.733603808	4.085050676	3.920002636	4.585238991	1.820873726
Cd164	73.8674	65.5346	48.376	71.3086	59.8423	117.368	6.226265748	6.056032876	5.625738062	6.176095339	5.927002787	6.8871353	1.81202733
Etv3	16.0504	18.8935	11.8723	21.694	16.78315	31.0294	4.09173368	4.314225217	3.68619795	4.504239013	4.152438992	5.001324868	1.811666
Ube2r2	16.4102	23.2997	25.0972	29.7882	27.4427	42.786	4.121860871	4.602866598	4.705823121	4.944305619	4.829986518	5.452397756	1.80922308
Itpr2	10.6498	9.22915	8.1271	9.96681	9.046955	17.0023	3.542233282	3.354614363	3.190156538	3.455072034	3.328686415	4.170109334	1.790994937
Rab8b	7.78565	8.29725	7.09793	10.9341	9.016015	15.213	3.135149027	3.21680405	3.017553172	3.577017866	3.324236723	4.019079162	1.783735156
Zbtb4	8.93238	7.99524	8.60909	11.0897	9.849395	16.2971	3.312139458	3.169161774	3.264399811	3.59570654	3.43954269	4.112458273	1.779819535
Wapal	6.77108	9.65581	7.77938	13.0097	10.39454	16.497	2.958115114	3.413568358	3.13411906	3.808354157	3.510270779	4.129035677	1.77310977
Soat1	6.07043	8.01905	6.359	9.63801	7.998505	13.3192	2.821797958	3.172975479	2.879509735	3.411156393	3.169685334	3.839878988	1.770788151
St3gal6	11.8499	13.9771	12.6709	14.3702	13.52055	23.2049	3.683685227	3.904686398	3.773036318	3.942064033	3.860024195	4.597227229	1.755682538
Luc7l3	28.0192	24.7944	21.3162	27.2429	24.27955	44.3562	4.858935843	4.688985983	4.480019481	4.819816328	4.659898877	5.503227869	1.750222693
Atr	6.06284	5.69168	4.95054	6.41175	5.681145	10.083	2.820248414	2.742368457	2.573020596	2.88981422	2.74009537	3.470276545	1.744704395
Tmed8	12.0977	12.3278	8.93377	13.8142	11.373985	20.4739	3.711241587	3.736366751	3.312341344	3.888908815	3.629238285	4.424512326	1.736052065
Tmem30a	25.6653	20.5516	20.7411	24.0578	22.39945	39.4668	4.736891654	4.429723074	4.442353031	4.647187851	4.548402715	5.338666864	1.73450324
Ugcg	19.3669	19.5484	21.9773	25.8893	23.9333	37.618	4.348154503	4.360954158	4.522137376	4.748960293	4.640001936	5.271201545	1.733909951
Zmym6	7.8738	7.25742	6.02624	8.20146	7.11385	12.7027	3.149552038	3.045691087	2.812752857	3.201862792	3.020386632	3.776388287	1.730676742
Smcr8	9.47909	8.44542	6.84205	9.83648	8.339265	14.9686	3.389441534	3.239614949	2.97123084	3.437824299	3.223309014	3.997165929	1.73032196
Wdr11	8.62471	9.91273	7.58855	10.1667	8.877625	15.6007	3.266743072	3.447940156	3.102414583	3.481130996	3.304164198	4.053172172	1.719431654
Btbd19	7.71361	7.25411	7.59169	7.26983	7.43076	12.4752	3.123270543	3.045112665	3.10294194	3.047857673	3.07566269	3.752234781	1.672882045
Lrrk2	17.4928	18.9412	14.2754	23.5921	18.93375	30.842	4.208891775	4.317680324	3.933138254	4.620123032	4.317141235	4.992859049	1.660370248
Ctage5	20.6764	23.8942	23.206	25.8522	24.5291	38.2341	4.43805327	4.637737749	4.597292791	4.746968388	4.674070773	5.294036201	1.633433303
Mtdh	24.5068	22.5838	17.4525	29.7358	23.59415	37.8616	4.672810009	4.55972429	4.205744385	4.941848131	4.62024329	5.280273395	1.606365793
