	T1	T2	MZ	FO1	FO2	FO	T1log	T2log	FO1log	FO2log	FOlog	MZlog	fold
Lta	3.84201	22.3108	19.7856	33.7894	37.2176	35.5035	2.275606059	4.542926612	5.120575892	5.256165277	5.189962893	4.377512488	2.318549989
Alkbh2	3.57018	6.35218	4.84941	11.5881	11.1661	11.3771	2.192250988	2.878172088	3.653988639	3.604794863	3.62960142	2.548291115	2.310576187
3300005D01Rik	2.69631	7.8516	9.7844	18.5335	12.691	15.61225	1.886085757	3.145938258	4.287878568	3.775155921	4.054175583	3.430874008	2.303562655
Ptpn7	5.80137	12.9546	15.2668	26.2239	26.0095	26.1167	2.765825378	3.802668866	4.766801852	4.755395028	4.761109714	4.023858567	2.302872459
Zfp511	11.5873	17.1755	12.6766	37.123	26.2646	31.6938	3.65389695	4.183923147	5.252589748	4.768957085	5.030945166	3.773637716	2.294468549
Erdr1	385.44	753.296	375.152	1594.4	715.613	1155.0065	8.594100624	9.558986965	10.63970247	9.485050405	10.17493379	8.555171951	2.288821564
Pfkfb4	3.44727	6.9452	5.42222	11.6653	12.4524	12.05885	2.152919995	2.990083536	3.662809345	3.749791677	3.706955949	2.683072087	2.287528241
Ddrgk1	24.6269	49.3842	27.0224	81.8362	72.2008	77.0185	4.679587066	5.654899484	6.372189468	6.19378751	6.285744356	4.808508617	2.286919685
Zfp688	13.003	20.093	8.01277	35.2519	27.228	31.23995	3.807664038	4.398692395	5.179984705	4.81905501	5.010777601	3.171970575	2.279801853
Tmem8	3.44513	6.18903	8.08653	14.8446	12.0795	13.46205	2.152225612	2.845797124	3.985919334	3.709235486	3.854200164	3.183729458	2.27903936
Pcbd2	12.0347	19.3743	9.21902	33.5836	28.075	30.8293	3.704285474	4.348678588	5.11201615	4.861707287	4.992283524	3.353184944	2.276456003
Rhob	9.64029	11.5509	6.36316	20.6693	20.9194	20.79435	3.411465567	3.649718916	4.437580645	4.454136403	4.445882272	2.880325051	2.264000058
Cyp4f18	70.9594	75.831	71.2328	165.867	163.108	164.4875	6.169111252	6.263616626	7.382554862	7.358501759	7.370578438	6.17458219	2.263348579
B3gnt8	46.829	54.6526	8.66043	99.8447	65.9159	82.8803	5.579813723	5.798377184	6.655991453	6.064277148	6.390260116	3.272087407	2.257457031
Stap1	14.9659	37.7027	33.0327	65.8916	63.0529	64.47225	3.996921975	5.274362311	6.063753149	6.001191985	6.032811654	5.088849708	2.256870666
Arhgap9	27.66	50.6937	55.4388	111.33	89.7094	100.5197	4.840966704	5.691916562	6.81159947	6.503180156	6.665615901	5.818615409	2.253931274
Mrps15	14.8378	31.5441	18.8604	59.6995	38.0588	48.87915	3.985300042	5.024324112	5.923612728	5.287575721	5.640364975	4.311822775	2.247582473
Zbtb7b	7.91578	15.1036	10.2423	26.2753	23.544	24.90965	3.156361018	4.009311337	4.76952316	4.617298483	4.695417622	3.490865314	2.246698002
Znrd1	21.8015	34.2061	17.0931	63.8596	45.1931	54.52635	4.51105683	5.137753515	6.019248221	5.529605463	5.795100659	4.17736771	2.237722074
Pttg1	12.2687	14.006	13.6853	33.8993	25.6974	29.79835	3.729955125	3.907467558	5.125126194	4.738627343	4.944781157	3.876300833	2.237113363
Mutyh	4.71294	7.8683	4.08875	14.649	10.1729	12.41095	2.514233378	3.148657575	3.967998564	3.48193179	3.745339533	2.347311316	2.233525635
Tubb4b	87.0884	111.26	42.2226	200.282	156.764	178.523	6.460880144	6.810700154	7.653074352	7.301624226	7.48802488	5.433713953	2.226240902
5730408K05Rik	8.4691	9.85764	10.9539	27.858	15.4665	21.66225	3.24322731	3.44063865	4.850899412	4.041462034	4.5022192	3.579409474	2.219444315
Rpl30	19.843	26.4622	11.2443	48.5028	36.4392	42.471	4.381491039	4.779375299	5.629438225	5.226477703	5.441981378	3.614038393	2.213972319
Abhd8	7.86509	12.5268	7.44839	24.3916	16.3758	20.3837	3.148135278	3.75774868	4.666279401	4.119007497	4.418439598	3.078676435	2.196497305
Dap	13.8819	15.3154	8.90653	35.5354	19.8765	27.70595	3.895486825	4.028162453	5.191223097	4.383807955	4.843277896	3.308379807	2.181351586
Ypel3	204.308	227.321	49.341	449.446	247.867	348.6565	7.681646034	7.834919748	8.815210354	7.95923113	8.449794514	5.65366197	2.174708402
Tpt1	1805.92	3055.26	1948.94	5435.89	4416.96	4926.425	10.81931692	11.57755157	12.40856592	12.10916464	12.2666182	10.92921402	2.170193036
Hist1h4i	10.0665	12.7177	5.95995	25.7736	15.7591	20.76635	3.468127108	3.777966705	4.742739233	4.06687277	4.444027597	2.799076942	2.16736449
Cyp4f13	7.78732	14.2007	13.581	26.2416	25.1188	25.6802	3.135423232	3.926065857	4.767739536	4.70701671	4.737697576	3.866017761	2.165946658
Hopx	7.20393	12.5657	7.91215	18.865	20.9155	19.89025	3.036315182	3.761891589	4.312156888	4.453879689	4.384757853	3.155773515	2.155596569
Atpif1	33.7386	42.4658	16.8406	74.3893	58.861	66.62515	5.118467708	5.441808793	6.236287871	5.903544475	6.079487984	4.15709223	2.148158955
Impdh1	9.51153	12.4814	5.21166	21.8122	16.9522	19.3822	3.39390077	3.752898418	4.511733681	4.166088749	4.349237875	2.634978865	2.137381964
Mpv17l2	19.0648	25.8254	10.9909	50.4692	28.9914	39.7303	4.326594871	4.745527778	5.685637453	4.906476964	5.348030535	3.583868042	2.132937612
Sit1	5.85078	7.28277	2.96629	11.6336	11.2284	11.431	2.776268256	3.050113328	3.659193895	3.612163745	3.635870452	1.987790166	2.130021168
Josd2	15.3611	28.169	17.8406	52.0416	34.9198	43.4807	4.032197843	4.866364022	5.72905239	5.166707412	5.475107587	4.235773005	2.125478445
H2-T23	208.021	349.612	201.715	617.322	445.981	531.6515	7.707504085	8.453731564	9.272214528	8.804069697	9.057048114	7.663309035	2.100426287
Tuba1c	32.6557	43.9662	22.8319	77.5242	61.4444	69.4843	5.072778958	5.490769065	6.295065435	5.964500292	6.139230036	4.57482207	2.095977228
Cirbp	58.1214	72.5207	46.7675	135.273	112.548	123.9105	5.885608528	6.200078598	7.090355937	6.827158485	6.964750945	5.577957468	2.095329114
Tmem120a	8.92322	11.5046	5.60675	19.8968	16.2817	18.08925	3.310808339	3.644387004	4.385210129	4.111173237	4.254688517	2.723940754	2.084449638
8430410A17Rik/Hmces	12.6434	18.2654	11.3486	33.9291	24.6278	29.27845	3.770131311	4.267940235	5.126357565	4.679637732	4.920219448	3.626275583	2.078579136
Atraid	27.8559	40.3532	24.008	69.6126	57.9644	63.7885	4.850794423	5.369927067	6.141853734	5.881772279	6.017665851	4.644317778	2.075162849
Bin1	78.2471	121.333	71.6523	211.596	162.291	186.9435	6.308286237	6.934669821	7.731970643	7.351301467	7.554155211	6.182936566	2.067712043
Gpr132	17.1697	38.9843	31.7861	53.635	66.1175	59.87625	4.183462694	5.321361726	5.771753554	6.068617074	5.927807586	5.035012394	2.042626174
Oaz1	121.313	111.18	65.912	259.448	146.728	203.088	6.934433938	6.809671678	8.024851548	7.206799487	7.673047547	6.064193062	2.041735226
Thap3	22.611	30.043	16.6975	51.6012	41.9945	46.79785	4.56138724	4.956196081	5.717023807	5.426080212	5.578873821	4.14547367	2.024376546
Hspb11	5.73886	8.69327	7.40157	17.1608	12.1246	14.6427	2.752504554	3.276983437	4.182755851	3.714201549	3.967417645	3.070658949	2.011940257
Fam69a	16.4288	18.8857	9.94226	30.1962	29.4557	29.82595	4.123401336	4.313659442	4.9632984	4.928640359	4.946073451	3.451838836	1.977115684
Lsm5	20.3922	23.7072	19.5469	41.009	41.7818	41.3954	4.419012954	4.626859618	5.392626539	5.418925279	5.405835832	4.36084884	1.951192764
Coa6	9.15654	11.5341	7.67064	21.9931	14.869	18.43105	3.344337102	3.647786503	4.523129083	3.988139313	4.280291957	3.116138486	1.949599948
Cyp27a1	7.11262	7.88548	10.0067	15.817	16.3972	16.1071	3.020167913	3.151449714	4.07184846	4.120783224	4.096523309	3.460310084	1.932480964
Cyb5r1	7.29196	6.20134	5.57893	11.8443	12.1716	12.00795	3.051713157	2.848265383	3.683056362	3.7193587	3.701321712	2.717852962	1.888811639
Scml4	9.21425	9.38226	4.78481	14.3217	15.0789	14.7003	3.35251137	3.376048617	3.937504473	4.007096806	3.972720221	2.532269575	1.88615955
Epb4.1	13.3873	13.8215	10.5844	23.9228	23.5292	23.726	3.846723968	3.889619557	4.639394255	4.616428277	4.627956964	3.534111418	1.883354678
Casp4	5.47291	9.10485	8.87816	18.065	11.2641	14.66455	2.694414445	3.336976001	4.252854626	3.616369461	3.96943142	3.304242337	1.875588338
2810008D09Rik	18.292	37.1064	35.4032	59.6997	53.4559	56.5778	4.26993081	5.251961415	5.923617481	5.76701646	5.847440761	5.18599337	1.869277634
Rpl22l1	110.398	194.486	187.985	304.103	307.913	306.008	6.799579521	7.61092148	8.253152555	8.271056775	8.26213244	7.56212792	1.862612581
Hist1h2bc	9.8501	11.7059	10.6962	26.2726	13.5158	19.8942	3.439636434	3.667426665	4.769380339	3.859552179	4.385030616	3.547967981	1.85049702
Akr1b10	9.4392	9.57339	7.33587	15.6066	15.2909	15.44875	3.383939251	3.402366097	4.053684824	4.025994403	4.039906047	3.059332779	1.758973769
